E-commerce,Código de barras,COD_IMG,SKU e MPN,Nome,Categoria,Identificador URL,Foto,Descrição,Vendido,Conjunto, Preço a prazo (+10%) , Preço a vista , Preço promocional (-10%) ,Tamanhos Disponíveis,,Tamanho Venda, Valor da venda ,Exibir na loja,Tags,Título para SEO,Descrição para SEO,Marca,Custo do produto,Estoque,Peso (kg),Altura (cm),Largura (cm),Comprimento (cm),Observação
off,165899990335,codigo_de_barras_165899990335.png,,Vestido Mullet Estampado,Vestido,vestido-mullet-estampado,vestido-mullet-estampado,Vestido Mullet Estampado de penas brancas com fundo preto,NÃO,NÃO," R$  427,90 "," R$  389,00 "," R$  350,10 ",M,,,,SIM,vestido;estampado;mullet,Vestido Mullet Estampado,Vestido Mullet Estampado,Roseli Budke Ateliê,125,1,,,,,
off,120465689823,codigo_de_barras_120465689823.png,,Vestido Tropical Estampado ,Vestido,vestido-tropical-estampado,vestido-tropical-estampado,Vestido Tropical Estampado Amarelo com flores diversas,NÃO,NÃO," R$  429,00 "," R$  390,00 "," R$  351,00 ",G,,,,SIM,vestido;estampado;tropical,Vestido Pântano Estampado,Vestido Pântano Estampado,Roseli Budke Ateliê,117,1,,,,,
off,162014596279,codigo_de_barras_162014596279.png,,Vestido Terra do Serrado Kafta,Vestido,vestido-kafka-terra-serrado,,Vestido Terra do Serrado Kafta,SIM,NÃO," R$  429,00 "," R$  390,00 "," R$  351,00 ",GG,,GG, R$  -   ,NÃO,vestido;estampado;serrado;terroso;kafta,Vestido Terra do Serrado Kafta,Vestido Terra do Serrado Kafta,Roseli Budke Ateliê,128,1,,,,,
off,580616927934,codigo_de_barras_580616927934.png,,Macacão com Manga Curta Estampado,Macacão,macacao-manga-curta,macacao-manga-curta,"Macacão com Manga Curta com Mix de Estampas (Poá, Geométrica, Onça e Zebra)",NÃO,NÃO," R$  473,00 "," R$  430,00 "," R$  387,00 ",P,,,,SIM,macacão;manga curta;,Macacão com Manga Curta Estampado,Macacão com Manga Curta Estampado,Roseli Budke Ateliê,280,1,,,,,
off,505540952908,codigo_de_barras_505540952908.png,,Vestido Liso Mid Esmeralda,Vestido,vestido-liso-mid-verde-esmeralda,vestido-liso-mid-verde-esmeralda,Vestido Liso Mid Verde Esmeralda,NÃO,NÃO," R$  429,00 "," R$  390,00 "," R$  351,00 ",M,,,,SIM,vestido;liso;verde; esmeralda;,Vestido Liso Mid,Vestido Liso Mid,Roseli Budke Ateliê,122,1,,,,,
off,152042649613,codigo_de_barras_152042649613.png,,Vestido Roxo Ipê com Abertura Lateral ,Vestido,vestido-roxo-ipe-abertura-lateral,vestido-roxo-ipe-abertura-lateral,Vestido Roxo Ipê com Abertura Lateral ,NÃO,NÃO," R$  944,90 "," R$  859,00 "," R$  773,10 ",M,,,,SIM,vestido;roxo;abertura lateral;festa,Vestido com Abertura Lateral Roxo Ipê,Vestido com Abertura Lateral Roxo Ipê,Roseli Budke Ateliê,190,1,,,,,
off,025866389552,codigo_de_barras_025866389552.png,,Vestido Liso Curto Rosa Claro,Vestido,vestido-liso-curto-rosa-claro,,Vestido Liso Curto Rosa Claro,NÃO,NÃO," R$  317,90 "," R$  289,00 "," R$  260,10 ",P,,,,SIM,vestido;liso;rosa claro,Vestido Liso Curto,Vestido Liso Curto,Roseli Budke Ateliê,120,1,,,,,
off,387622294742,codigo_de_barras_387622294742.png,,Vestido Compose com Manga Bufante,Vestido,vestido-compose-manga-bufante,vestido-compose-manga-bufante,Vestido Compose com Manga Bufante,NÃO,NÃO," R$  429,00 "," R$  390,00 "," R$  351,00 ",P,,,,SIM,vestido;compose;manga bufante,Vestido Compose com Manga Bufante,Vestido Compose com Manga Bufante,Roseli Budke Ateliê,180,1,,,,,
off,611293727833,codigo_de_barras_611293727833.png,,Vestido Florido de Crepe,Vestido,vestido-florido-crepe,,Vestido Florido de Crepe,SIM,NÃO," R$  218,90 "," R$  199,00 "," R$  179,10 ",P,,P," R$  199,00 ",NÃO,,Vestido Florido de Crepe,Vestido Florido de Crepe,Roseli Budke Ateliê,130,1,,,,,trocar a etiqueta
off,982034614720,codigo_de_barras_982034614720.png,,Vestido Micro de Cetim Liso,Vestido,vestido-micro-cetim-liso,,Vestido Micro de Cetim Liso,SIM,NÃO," R$  218,90 "," R$  199,00 "," R$  179,10 ",P,,P," R$  199,00 ",SIM,vestido;micro;liso;cetim,Vestido Micro de Cetim Liso,Vestido Micro de Cetim Liso,Roseli Budke Ateliê,135,1,,,,,
off,081508215618,codigo_de_barras_081508215618.png,,Vestido Mid Laranja Floral,Vestido,vestido-mid-laranja-floral,vestido-mid-laranja-floral,Vestido Mid Laranja Floral,NÃO,NÃO," R$  218,90 "," R$  199,00 "," R$  179,10 ",GG,,,,SIM,vestido;floral;mid;laranja,Vestido Mid Florido,Vestido Mid Florido,Roseli Budke Ateliê,130,1,,,,,
off,319609989880,codigo_de_barras_319609989880.png,,Vestido de Seda Amarelo Estampado Mullet,Vestido,vestido-amarelo-mullet-seda-estampado,vestido-amarelo-mullet-seda-estampado,Vestido de Seda Amarelo Estampado Mullet,NÃO,NÃO," R$  218,90 "," R$  199,00 "," R$  179,10 ",P,,,,SIM,vestido;estampado;seda,Vestido com Recorte de Seda Estampado,Vestido com Recorte de Seda Estampado,Roseli Budke Ateliê,130,1,,,,,
off,871117566626,,,Vestido Curto de Cetim Estampado,Vestido,vestido-curto-cetim-estampado,,Vestido Curto de Cetim Estampado,NÃO,NÃO," R$  207,90 "," R$  189,00 "," R$  170,10 ",P,,,,SIM,vestido;estampado;curto;cetim,Vestido Curto de Cetim Estampado,Vestido Curto de Cetim Estampado,Roseli Budke Ateliê,,1,,,,,
off,545229356120,,,Vestido Curto Crepe Devorê Estampado,Vestido,vestido-curto-crepe-devore-estampado,vestido-curto-crepe-devore-estampado,Vestido Curto Crepe Devorê Estampado,NÃO,NÃO," R$  218,90 "," R$  199,00 "," R$  179,10 ",P,,,,SIM,vestido;estampado;curto;crepe;devorê,Vestido Curto Crepe Devorê Estampado,Vestido Curto Crepe Devorê Estampado,Roseli Budke Ateliê,,1,,,,,
off,261520998874,,,Vestido Viscolinho Curto Estampado,Vestido,vestido-viscolinho-curto-estampado,vestido-viscolinho-curto-estampado,Vestido Viscolinho Curto Estampado,NÃO,NÃO," R$  218,90 "," R$  199,00 "," R$  179,10 ",G,,,,SIM,vestido;curto;viscolinho;estampado,Vestido Viscolinho Curto Estampado,Vestido Viscolinho Curto Estampado,Roseli Budke Ateliê,,1,,,,,
off,334175887374,,,Vestido Curto Viscose,Vestido,vestido-curto-viscose,vestido-curto-viscose,Vestido Curto Viscose com fundo amarelo verde creme com folhas em azul marinho,NÃO,NÃO," R$  196,90 "," R$  179,00 "," R$  161,10 ",M,,,,SIM,vestido;curto;viscose;estampado,Vestido Curto Viscose,Vestido Curto Viscose,Roseli Budke Ateliê,,1,,,,,
off,252995542589,,,Vestido Longo Crepe Estampado,Vestido,vestido-longo-crepe-branco-preto,vestido-longo-crepe-branco-preto,Vestido Longo Crepe Estampado branco com feixes pretos,NÃO,NÃO," R$  242,00 "," R$  220,00 "," R$  198,00 ",GG,,,,SIM,vestido;longo;crepe;estampado,Vestido Longo Crepe Estampado,Vestido Longo Crepe Estampado,Roseli Budke Ateliê,,1,,,,,
off,189039631236,,,Vestido Curto de Microfibra Estampado,Vestido,vestido-curto-microfibra-estampado-onca,vestido-curto-microfibra-estampado-onca,Vestido Curto de Microfibra Estampado verde de onça pintada,NÃO,NÃO," R$  196,90 "," R$  179,00 "," R$  161,10 ",P,,,,SIM,vestido;Curto;Estampado;microfibra,Vestido Curto de Microfibra Estampado,Vestido Curto de Microfibra Estampado,Roseli Budke Ateliê,,1,,,,,
off,358993940795,,,Vestido Curto de Seda Estampado,Vestido,vestido-curto-seda-estampado-vermelho,vestido-curto-seda-estampado-vermelho,Vestido Curto de Seda Estampado em tons de vermelho marmorizado com flores,NÃO,NÃO," R$  196,90 "," R$  179,00 "," R$  161,10 ",G,,,,SIM,vestido;Estampado;seda,Vestido Curto de Seda Estampado,Vestido Curto de Seda Estampado,Roseli Budke Ateliê,,1,,,,,
off,137236049880,,,Vestido Curto Crepe Estampado,Vestido,vestido-curto-crepe-estampado,,Vestido Curto Crepe Estampado,SIM,NÃO," R$  132,00 "," R$  120,00 "," R$  108,00 ",P,,," R$  120,00 ",SIM,vestido;crepe;Estampado;Curto,Vestido Curto Crepe Estampado,Vestido Curto Crepe Estampado,Roseli Budke Ateliê,,1,,,,,
off,568069330200,,,Conjunto Cropped e Saia de Malha,Conjunto,conjunto-cropped-saia-malha,conjunto-cropped-saia-malha,Conjunto Cropped e Saia de Malha verde oliva com padrão geométrico,NÃO,SIM," R$  132,00 "," R$  120,00 "," R$  108,00 ",P,,,,SIM,conjunto;saia;cropped;Liso,Conjunto Cropped e Saia de Malha,Conjunto Cropped e Saia de Malha,Roseli Budke Ateliê,,1,,,,,
off,271094592488,,,Vestido Curto Estampado Algodão Bege,Vestido,vestido-curto-estampado-algodao,,Vestido Curto Estampado de Algodão Acetinado bege com figuras geométricas e florais em marrom,NÃO,NÃO," R$  207,90 "," R$  189,00 "," R$  170,10 ",P,,,,SIM,Estampado;vestido;Curto,Vestido Curto Estampado Viscose,Vestido Curto Estampado Viscose,Roseli Budke Ateliê,,1,,,,,
off,290472990541,,,Vestido Curto Estampado de Viscose Primavera,Vestido,vestido-curto-estampado-viscose,,"Vestido Curto Estampado de Viscose branco com flores em cores de primavera (vermelho, amarelo, azul, verde, laranja e rosa)",NÃO,NÃO," R$  218,90 "," R$  199,00 "," R$  179,10 ",P,,,,SIM,vestido;Estampado;viscose;florido,Vestido Curto Estampado de Viscose,Vestido Curto Estampado de Viscose,Roseli Budke Ateliê,,1,,,,,
off,956835599391,,,Vestido Curto Poá de Viscose,Vestido,vestido-curto-poa-viscose,,Vestido Curto de Viscose preto em Poá (Bolinhas) Verde e Bege,NÃO,NÃO," R$  218,90 "," R$  199,00 "," R$  179,10 ",G,,,,SIM,vestido;Estampado;Poá;Curto,Vestido Curto Poá de Viscose,Vestido Curto Poá de Viscose,Roseli Budke Ateliê,,1,,,,,
off,891473556733,,,Vestido Mid Crepe Poá,Vestido,vestido-mid-crepe-poa,,Vestido Mid Crepe Poá,SIM,NÃO," R$  284,90 "," R$  259,00 "," R$  233,10 ",GG,,,,SIM,vestido;Poá;crepe,Vestido Mid Crepe Poá,Vestido Mid Crepe Poá,Roseli Budke Ateliê,,1,,,,,
off,869203520763,,,Vestido Longo Estampa Psicodélica de Viscose,Vestido,vestido-longo-estampado-viscose,,"Vestido Longo Estampa Psicodélica de Viscose preto, laranja, bege e branco.",NÃO,NÃO," R$  269,50 "," R$  245,00 "," R$  220,50 ",M,,,,SIM,Estampado;vestido;viscose,Vestido Três Maria Longo Estampado de Viscose,Vestido Três Maria Longo Estampado de Viscose,Roseli Budke Ateliê,,1,,,,,
off,305635544594,,,Vestido de Malha Estampado Curto,Vestido,vestido-curto-malha-florido,vestido-curto-malha-florido,Vestido de Malha Estampado Curto branco florido vermelho rosado,NÃO,NÃO," R$  196,90 "," R$  179,00 "," R$  161,10 ",P,,,,SIM,malha;vestido;Curto;Estampado,Vestido de Malha Estampado Curto,Vestido de Malha Estampado Curto,Roseli Budke Ateliê,,1,,,,,
off,847797718847,,,Vestido Mid Estampado de Viscose,Vestido,vestido-mid-liso-viscose,,Vestido Mid Estampado de Viscose de Seda ,SIM,NÃO," R$  218,90 "," R$  199,00 "," R$  179,10 ",M,,,,SIM,Mid;Liso;viscose;vestido,Vestido Mid Liso de Viscose,Vestido Mid Liso de Viscose,Roseli Budke Ateliê,,1,,,,,
off,125097859818,,,Vestido Mid de Malha Canelada,Vestido,vestido-mid-malha-canelada,,Vestido Mid de Malha Canelada,NÃO,NÃO," R$  207,90 "," R$  189,00 "," R$  170,10 ",M,,,,SIM,vestido;Liso;malha,Vestido Mid de Malha Canelada,Vestido Mid de Malha Canelada,Roseli Budke Ateliê,,1,,,,,
off,299105505376,,,Vestido Mid de Malha Verde Oliva,Vestido,vestido-mid-malha-verde-oliva,,Vestido Mid de Malha Verde Oliva,NÃO,NÃO," R$  218,90 "," R$  199,00 "," R$  179,10 ",M,,,,SIM,vestido;malha;Mid,Vestido Mid de Malha Verde Oliva,Vestido Mid de Malha Verde Oliva,Roseli Budke Ateliê,,1,,,,,
off,148111745466,,,Vestido Longo de Malha Vermelho,Vestido,vestido-longo-malha-vermelho,vestido-longo-malha-vermelho,Vestido Longo de Malha Vermelho,NÃO,NÃO," R$  207,90 "," R$  189,00 "," R$  170,10 ",G,,,,SIM,vestido;Liso;longo,Vestido Longo de Malha Vermelho,Vestido Longo de Malha Vermelho,Roseli Budke Ateliê,,1,,,,,
off,798864623939,,,Vestido Curto de Malha Roxo Claro,Vestido,vestido-curto-malha-liso-roxo-claro,,Vestido Curto de Malha Roxo Ipê,NÃO,NÃO," R$  196,90 "," R$  179,00 "," R$  161,10 ",P,,,,SIM,vestido;Liso;malha,Vestido Curto de Malha Roxo Ipê,Vestido Curto de Malha Roxo Ipê,Roseli Budke Ateliê,,1,,,,,
off,985657399441,,,Vestido Mid de Malha Liso Roxo Ipê,Vestido,vestido-mid-malha-liso-roxo-ipe,vestido-mid-malha-liso-roxo-ipe,Vestido Mid de Malha Liso Roxo,NÃO,NÃO," R$  185,90 "," R$  169,00 "," R$  152,10 ",P,,,,SIM,vestido;Liso;Mid,Vestido Mid de Malha Liso Roxo,Vestido Mid de Malha Liso Roxo,Roseli Budke Ateliê,,1,,,,,
off,861294930018,,,Vestido Longo de Malha Roxo Ipê,Vestido,vestido-longo-malha-liso-roxo-ipe,,Vestido Longo de Malha Roxo Ipê,NÃO,NÃO," R$  196,90 "," R$  179,00 "," R$  161,10 ",P,,,,SIM,vestido;Liso;malha,Vestido Longo de Malha Roxo Ipê,Vestido Longo de Malha Roxo Ipê,Roseli Budke Ateliê,,1,,,,,
off,700198136120,,,Vestido Longo de Malha Liso Laranja,Vestido,vestido-longo-malha-liso-laranja,,Vestido Longo de Malha Liso Laranja,NÃO,NÃO," R$  229,90 "," R$  209,00 "," R$  188,10 ",GG,,,,SIM,vestido;longo;malha,Vestido Longo de Malha Liso Laranja,Vestido Longo de Malha Liso Laranja,Roseli Budke Ateliê,,1,,,,,
off,783668496494,,,Vestido Longo de Malha Verde Oliva,Vestido,vestido-longo-malha-verde-oliva,,Vestido Longo de Malha Verde Oliva,SIM,NÃO," R$  218,90 "," R$  199,00 "," R$  179,10 ",G,,,,SIM,vestido;malha;longo,Vestido Longo de Malha Verde Oliva,Vestido Longo de Malha Verde Oliva,Roseli Budke Ateliê,,1,,,,,
off,734117886775,,,Vestido Longo de Malha Vermelho,Vestido,vestido-longo-malha-vermelho-poa,vestido-longo-malha-vermelho-poa,Vestido Longo de Malha Vermelho,NÃO,NÃO," R$  207,90 "," R$  189,00 "," R$  170,10 ",M,,,,SIM,vestido;Liso;malha,Vestido Longo de Malha Vermelho,Vestido Longo de Malha Vermelho,Roseli Budke Ateliê,,1,,,,,
off,162742504120,,,Vestido Longo de Malha com Manga Longa,Vestido,vestido-longo-malha-manga-longa,,Vestido Longo de Malha com Manga Longa,NÃO,NÃO," R$  218,90 "," R$  199,00 "," R$  179,10 ",M,,,,SIM,vestido;Liso;Manga Longa,Vestido Longo de Malha com Manga Longa,Vestido Longo de Malha com Manga Longa,Roseli Budke Ateliê,,1,,,,,
off,565836486982,,,Vestido Longo de Malha Azul Celeste,Vestido,vestido-longo-malha-azul-celeste,,Vestido Longo de Malha Azul Celeste,NÃO,NÃO," R$  218,90 "," R$  199,00 "," R$  179,10 ",M,,,,SIM,vestido;malha;Liso;longo,Vestido Longo de Malha Azul Celeste,Vestido Longo de Malha Azul Celeste,Roseli Budke Ateliê,,1,,,,,
off,270017163867,,,Vestido Longo de Malha Açaí,Vestido,vestido-longo-malha-acai,,Vestido Longo de Malha Açaí,SIM,NÃO," R$  185,90 "," R$  169,00 "," R$  152,10 ",P,,,,SIM,vestido;malha;longo,Vestido Longo de Malha Açaí,Vestido Longo de Malha Açaí,Roseli Budke Ateliê,,1,,,,,
